threshold,f1,recall
0.2,0.6043437204910292,0.8556149732620321
0.21000000000000002,0.6080305927342257,0.8502673796791443
0.22000000000000003,0.6128404669260701,0.8422459893048129
0.23000000000000004,0.6140177690029615,0.8315508021390374
0.24000000000000005,0.6130653266331658,0.8155080213903744
0.25000000000000006,0.6171079429735234,0.8101604278074866
0.26000000000000006,0.61875,0.7941176470588235
0.2700000000000001,0.6199575371549894,0.7807486631016043
0.2800000000000001,0.6196581196581197,0.7754010695187166
0.2900000000000001,0.6148867313915858,0.7620320855614974
0.3000000000000001,0.6157205240174672,0.7540106951871658
0.3100000000000001,0.6201550387596899,0.7486631016042781
0.3200000000000001,0.6160815402038505,0.7272727272727273
0.3300000000000001,0.6155606407322655,0.7192513368983957
0.34000000000000014,0.6121979286536249,0.7112299465240641
0.35000000000000014,0.6146682188591386,0.7058823529411765
0.36000000000000015,0.6143024618991794,0.7005347593582888
0.37000000000000016,0.6166666666666667,0.6925133689839572
0.38000000000000017,0.6187050359712231,0.6898395721925134
0.3900000000000002,0.6180048661800487,0.679144385026738
0.4000000000000002,0.6157635467980296,0.6684491978609626
0.4100000000000002,0.613664596273292,0.660427807486631
0.4200000000000002,0.6128625472887768,0.6497326203208557
0.4300000000000002,0.609254498714653,0.6336898395721925
0.4400000000000002,0.6051948051948052,0.6229946524064172
0.45000000000000023,0.607661822985469,0.6149732620320856
0.46000000000000024,0.6091644204851752,0.6042780748663101
0.47000000000000025,0.6136986301369863,0.5989304812834224
0.48000000000000026,0.6102635228848821,0.5882352941176471
0.49000000000000027,0.6090651558073654,0.5748663101604278
0.5000000000000002,0.6040462427745664,0.5588235294117647
0.5100000000000002,0.5929203539823009,0.5374331550802139
0.5200000000000002,0.5774436090225564,0.5133689839572193
0.5300000000000002,0.5674846625766872,0.4946524064171123
0.5400000000000003,0.557632398753894,0.4786096256684492
0.5500000000000003,0.5477707006369427,0.45989304812834225
0.5600000000000003,0.5395799676898223,0.446524064171123
0.5700000000000003,0.5374592833876222,0.4411764705882353
0.5800000000000003,0.5282392026578073,0.42513368983957217
0.5900000000000003,0.5268456375838926,0.4197860962566845
0.6000000000000003,0.5145797598627787,0.40106951871657753
0.6100000000000003,0.49469964664310956,0.37433155080213903
0.6200000000000003,0.48028673835125446,0.3582887700534759
0.6300000000000003,0.4677716390423573,0.339572192513369
0.6400000000000003,0.4523364485981308,0.3235294117647059
0.6500000000000004,0.4393939393939394,0.31016042780748665
0.6600000000000004,0.4108527131782946,0.28342245989304815
0.6700000000000004,0.3817097415506958,0.25668449197860965
0.6800000000000004,0.34552845528455284,0.22727272727272727
0.6900000000000004,0.325678496868476,0.20855614973262032
0.7000000000000004,0.2918454935622318,0.18181818181818182
0.7100000000000004,0.25333333333333335,0.15240641711229946
0.7200000000000004,0.24379232505643342,0.1443850267379679
0.7300000000000004,0.2037037037037037,0.11764705882352941
0.7400000000000004,0.17966903073286053,0.10160427807486631
0.7500000000000004,0.14043583535108958,0.07754010695187166
0.7600000000000005,0.11358024691358025,0.06149732620320856
0.7700000000000005,0.09950248756218906,0.053475935828877004
0.7800000000000005,0.08080808080808081,0.0427807486631016
0.7900000000000005,0.06153846153846154,0.03208556149732621
0.8000000000000005,0.05167958656330749,0.026737967914438502
0.8100000000000005,0.04155844155844156,0.0213903743315508
